จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
เพชรบูรณ์,"650,918",14%,"944,342",689.28
น่าน,"517,549",11%,"836,821",618.47
นครราชสีมา,"447,948",9%,"676,946",661.72
เลย,"447,397",9%,"669,042",668.71
ตาก,"433,609",9%,"633,433",684.54
เชียงราย,"349,447",7%,"510,458",684.58
พะเยา,"214,878",5%,"306,380",701.34
แพร่,"194,570",4%,"314,754",618.17
พิษณุโลก,"182,192",4%,"269,613",675.75
นครสวรรค์,"155,026",3%,"222,468",696.85
เชียงใหม่,"126,394",3%,"187,084",675.60
อุตรดิตถ์,"123,693",3%,"192,390",642.93
สระบุรี,"117,859",2%,"157,858",746.61
ลพบุรี,"115,197",2%,"197,530",583.19
ลำปาง,"104,710",2%,"152,404",687.06
สระแก้ว,"68,825",1%,"99,887",689.03
ลำพูน,"67,722",1%,"97,730",692.95
อุทัยธานี,"67,104",1%,"85,078",788.74
ชัยภูมิ,"67,083",1%,"105,710",634.59
กาญจนบุรี,"60,116",1%,"87,328",688.39
แม่ฮ่องสอน,"39,283",1%,"62,765",625.87
กำแพงเพชร,"35,387",1%,"47,511",744.82
สุโขทัย,"34,491",1%,"55,893",617.09
สุพรรณบุรี,"29,586",1%,"41,799",707.82
หนองบัวลำภู,"13,952",0%,"21,015",663.91
จันทบุรี,"13,768",0%,"21,812",631.21
ปราจีนบุรี,"11,958",0%,"17,553",681.25
พิจิตร,"10,977",0%,"16,208",677.26
ขอนแก่น,"7,579",0%,"12,069",627.97
อุบลราชธานี,"5,642",0%,"6,615",852.91
ศรีสะเกษ,"2,750",0%,"3,493",787.29
ชัยนาท,"2,730",0%,"4,985",547.64
เพชรบุรี,"2,483",0%,"4,168",595.73
ราชบุรี,"2,360",0%,"3,757",628.16
ฉะเชิงเทรา,"2,048",0%,"2,961",691.66
หนองคาย,"1,058",0%,"1,616",654.70
อุดรธานี,642,0%,"1,035",620.29
ประจวบคีรีขันธ์,444,0%,738,601.63
ชลบุรี,106,0%,168,630.95
กาฬสินธุ์,46,0%,70,657.14
